km;height
1659.267;147.8
1659.278;148.1
1659.289;148.3
1659.295;148.4
1659.307;148.7
1659.318;148.9
1659.329;149.2
1659.34;148.6
1659.346;148.2
1659.358;147.6
1659.368;146.9
1659.379;146.2
1659.39;145.5
1659.396;145.1
1659.407;144.4
1659.419;143.7
1659.43;143
1659.436;142.9
1659.447;142.8
1659.459;142.8
1659.47;142.7
1659.476;142.7
1659.487;142.6
1659.498;142.6
1659.509;142.5
1659.52;142.5
1659.526;142.4
1659.537;142.3
1659.548;142.1
1659.56;142
1659.565;141.9
1659.576;141.7
1659.587;141.5
1659.599;141.3
1659.609;141.2
1659.62;141
1659.626;140.9
1659.637;140.8
1659.649;140.6
1659.66;140.5
1659.666;140.5
1659.677;140.4
1659.689;140.2
1659.7;140.1
1659.706;140.1
1659.717;140
1659.727;139.9
1659.738;139.8
1659.749;139.9
1659.755;139.9
1659.766;140
1659.777;140.1
1659.789;140.1
1659.8;140.2
1659.806;140.2
1659.817;140.3
1659.828;140.4
1659.84;140.3
1659.845;140.2
1659.857;140
1659.868;139.8
1659.88;139.6
1659.885;139.5
1659.897;139.3
1659.908;139.1
1659.919;138.9
1659.93;138.8
1659.935;138.7
1659.946;138.6
1659.958;138.5
1659.969;138.4
1659.981;138.3
1659.986;138.3
1659.997;138.2
1660.007;138.1
1660.019;138
1660.03;137.9
1660.036;137.9
1660.047;137.9
1660.058;137.9
1660.07;137.9
1660.075;137.9
1660.087;137.9
1660.098;137.9
1660.109;137.9
1660.119;137.9
1660.13;137.9
1660.136;137.9
1660.154;137.8
1660.165;137.7
1660.177;137.7
1660.188;137.6
1660.199;137.6
1660.21;137.6
1660.222;137.5
1660.233;137.4
1660.245;137.1
1660.256;136.9
1660.268;136.6
1660.279;136.4
1660.29;136.1
1660.301;135.9
1660.312;135.6
1660.324;135.4
1660.335;135.2
1660.346;135
1660.358;134.8
1660.369;134.6
1660.381;134.4
1660.392;134.2
1660.403;133.9
1660.415;133.7
1660.426;133.5
1660.438;133.1
1660.449;132.7
1660.46;132.2
1660.471;131.7
1660.483;131.2
1660.493;130.7
1660.505;130.2
1660.516;129.8
1660.528;129.3
1660.539;128.7
1660.55;128.2
1660.562;127.6
1660.573;127
1660.585;126.5
1660.596;125.9
1660.608;125.4
1660.619;124.8
1660.63;124.3
1660.642;124
1660.653;123.6
1660.665;123.3
1660.676;123
1660.688;122.8
1660.698;122.4
1660.709;122.1
1660.721;121.8
1660.732;121.5
1660.743;121.4
1660.755;121.2
1660.766;121
1660.777;120.9
1660.789;120.7
1660.8;120.5
1660.812;120.4
1660.823;120.2
1660.834;120
1660.846;119.8
1660.857;119.6
1660.869;119.5
1660.88;119.3
1660.891;119.1
1660.903;118.9
1660.914;118.7
1660.926;118.6
1660.937;118.4
1660.948;118.3
1660.96;118.3
1660.971;118.2
1660.983;118.1
1660.994;118
1661.005;117.9
1661.016;117.9
1661.028;117.8
1661.039;117.8
1661.05;117.8
1661.062;117.9
1661.073;117.9
1661.084;118
1661.096;118
1661.107;118
1661.115;118.1
1661.127;118.1
1661.138;118
1661.149;117.7
1661.16;117.3
1661.172;117
1661.183;116.7
1661.194;116.4
1661.206;116
1661.217;115.7
1661.229;115.4
1661.24;115.1
1661.251;114.9
1661.262;114.6
1661.274;114.4
1661.285;114.1
1661.297;113.9
1661.308;113.7
1661.319;113.4
1661.331;113.2
1661.342;113
1661.353;112.8
1661.364;112.6
1661.376;112.4
1661.387;112.2
1661.398;112
1661.41;111.8
1661.421;111.6
1661.432;111.4
1661.444;111.2
1661.455;111
1661.467;110.9
1661.478;110.7
1661.489;110.5
1661.501;110.3
1661.512;110.2
1661.523;110
1661.534;109.8
1661.546;109.8
1661.557;109.8
1661.568;109.8
1661.58;109.8
1661.591;109.7
1661.602;109.7
1661.614;109.7
1661.625;109.7
1661.637;109.7
1661.648;109.7
1661.66;109.8
1661.671;109.8
1661.683;109.9
1661.694;109.9
1661.706;110
1661.717;110
1661.728;110.1
1661.738;110.1
1661.751;110
1661.762;110
1661.773;109.9
1661.785;109.8
1661.796;109.8
1661.807;109.7
1661.818;109.6
1661.83;109.6
1661.841;109.5
1661.853;109.4
1661.864;109.4
1661.875;109.3
1661.887;109.2
1661.898;109.1
1661.91;109.1
1661.921;109
1661.932;108.9
1661.944;109
1661.955;109
1661.967;109.1
1661.978;109.1
1661.99;109.1
1662.001;109.2
1662.013;109.2
1662.024;109.3
1662.036;109.3
1662.047;109.4
1662.058;109.4
1662.069;109.5
1662.081;109.6
1662.092;109.6
1662.104;109.7
1662.115;109.7
1662.126;109.8
1662.137;109.8
1662.149;109.7
1662.16;109.6
1662.172;109.5
1662.182;109.5
1662.194;109.4
1662.205;109.3
1662.217;109.2
1662.228;109.1
1662.239;108.9
1662.251;108.6
1662.262;108.3
1662.274;108
1662.285;107.6
1662.296;107.3
1662.308;107
1662.319;106.6
1662.331;106.3
1662.342;106.2
1662.353;106.3
1662.361;106.3
1662.367;106.5
1662.379;106.6
1662.39;106.8
1662.4;106.9
1662.406;107
1662.417;107.1
1662.428;107.3
1662.439;107.5
1662.45;107.6
1662.456;107.7
1662.467;107.9
1662.478;108.1
1662.49;108.2
1662.5;108.4
1662.505;108.5
1662.516;108.7
1662.528;108.9
1662.539;109
1662.55;109.1
1662.556;109
1662.567;108.9
1662.578;108.9
1662.589;108.8
1662.6;108.7
1662.605;108.7
1662.617;108.6
1662.628;108.5
1662.639;108.4
1662.65;108.4
1662.66;108.4
1662.665;108.4
1662.677;108.4
1662.688;108.4
1662.699;108.3
1662.71;108.3
1662.716;108.3
1662.727;108.3
1662.738;108.3
1662.749;108.2
1662.76;108.1
1662.766;108
1662.777;107.8
1662.788;107.6
1662.799;107.4
1662.81;107.3
1662.815;107.2
1662.826;107
1662.837;106.8
1662.849;106.5
1662.859;105.9
1662.87;105.3
1662.88;104.7
1662.886;104.4
1662.897;103.8
1662.908;103.2
1662.92;102.6
1662.925;102.3
1662.936;101.7
